experiment	train	valid	epoch	learn_rate	precision	recall	f1	cost_min	cost_max	cost_avg	y_min_avg	y_max_avg	y_mean_avg	epoch_time	model	x_dim	hidden_dim	y_dim	w_spread	p_drop	init_rate	decay_after	decay_rate	activation	updates	l1_reg	l2_reg
ex02x	dev	dev	50	0.0001	1.0	0.0	0.0	1.00339460373	1.00339460373	1.003394603729248	0.0008652897085994482	0.021266715601086617	0.0080620218068361282	1.0009918212890625	RNN_deep5_bi	300	10	3	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02x	dev	dev	0	0.0001	1.0	0.0	0.0	1.03250575066	1.03250575066	1.0325057506561279	-0.026894833892583847	0.046605091542005539	0.010156546719372272	1.0017449855804443	RNN_deep5_bi	300	10	3	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02x	dev	dev	0	0.0001	1.0	0.0	0.0	1.0611320734	1.0611320734	1.0611320734024048	-0.054329421371221542	0.045693419873714447	-0.0098147345706820488	0.993257999420166	RNN_deep5_bi	300	10	3	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02x	dev	dev	0	0.0001	1.0	0.0	0.0	1.0354115963	1.0354115963	1.0354115962982178	-0.029780669137835503	0.040395278483629227	0.0011350618442520499	1.0027320384979248	RNN_deep5_bi	300	10	3	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02x	dev	dev	50	0.0001	1.0	0.0	0.0	1.02154529095	1.02154529095	1.0215452909469604	-0.017053436487913132	0.031778920441865921	0.0041223056614398956	1.007652997970581	RNN_deep5_bi	300	10	3	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02x	dev	dev	100	0.0001	1.0	0.0	0.0	1.00628912449	1.00628912449	1.0062891244888306	-0.003433076199144125	0.023300308734178543	0.0067669865675270557	1.0064361095428467	RNN_deep5_bi	300	10	3	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02x	dev	dev	0	0.0001	1.0	0.0	0.0	1.00593543053	1.00593543053	1.0059354305267334	-0.00071679014945402741	0.039695199579000473	0.02289862185716629	0.9972639083862305	RNN_deep5_bi	300	10	3	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02x	dev	dev	0	0.0001	1.0	0.0	0.0	1.04375779629	1.04375779629	1.0437577962875366	-0.037215489894151688	0.046704933047294617	0.015526679344475269	1.0095100402832031	RNN_deep5_bi	300	10	3	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02x	dev	dev	0	0.0001	1.0	0.0	0.0	1.03725743294	1.03725743294	1.0372574329376221	-0.031865663826465607	0.01245147455483675	-0.0044499784708023071	1.0496461391448975	RNN_deep5_bi	300	10	3	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02x	dev	dev	0	0.0001	1.0	0.0	0.0	1.0366140604	1.0366140604	1.0366140604019165	-0.031254991888999939	0.0055964705534279346	-0.013848061673343182	0.9967122077941895	RNN_deep5_bi	300	10	3	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02x	dev	dev	0	0.0001	1.0	0.0	0.0	1.03216075897	1.03216075897	1.032160758972168	-0.026901863515377045	0.044719289988279343	0.0053536295890808105	1.0112459659576416	RNN_deep5_bi	300	10	3	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02x	dev	dev	50	0.0001	1.0	0.0	0.0	1.01938199997	1.01938199997	1.0193819999694824	-0.015432821586728096	0.036166712641716003	0.0076730404980480671	1.0257859230041504	RNN_deep5_bi	300	10	3	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02n	dev	dev	elite	0	0.001	1.0	0.0	0.0	0.0495233274996	1.06199800968	0.9977173345332796	-0.024259604158049279	0.04995307583700527	0.010928827877135269	44.73516511917114	RNN_deep5_bi	300	30	48	0.05	0.2	0.001	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	0	0.001	1.0	0.0	0.0	0.205582201481	1.16518568993	1.0104008956388995	-0.073184040324254476	0.22534326152368025	0.051099685378457334	60.04295897483826	RNN_deep5_bi	300	50	48	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	0	0.001	1.0	0.0	0.0	0.116081684828	1.04508566856	0.67934503162449056	0.08824575443498113	0.26452925096858632	0.20520357807928866	55.62753486633301	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	0	0.001	1.0	0.0	0.0	0.146115913987	1.02969098091	0.68760629052465616	0.082707919502122834	0.17919024621898477	0.13538575429808009	63.24171185493469	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	50	0.0005120000000000001	1.0	0.0	0.0	0.0887520238757	1.01770365238	0.56664623929695646	-0.092409493537111712	0.40865539244630122	0.19018288032913749	71.51714491844177	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	0	0.001	1.0	0.0	0.0	1.04080975056	1.04080975056	1.0408097505569458	-0.073919199407100677	0.055942744016647339	-0.0019229305908083916	2.075695037841797	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	0	0.1	1.0	0.0	0.0	1.03515779972	1.03515779972	1.0351577997207642	0.017029058188199997	0.040100894868373871	0.026734910905361176	1.1885621547698975	RNN_deep5_bi	300	10	3	0.1	0.0	0.1	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	0	0.1	1.0	0.0	0.0	1.01105010509	1.01105010509	1.0110501050949097	-0.063237406313419342	0.017565198242664337	-0.02289687842130661	1.8632919788360596	RNN_deep5_bi	300	10	3	0.1	0.0	0.1	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	0	0.1	1.0	0.0	0.0	1.00874102116	1.00874102116	1.008741021156311	-0.021483682096004486	0.057488121092319489	0.0088902628049254417	1.1917810440063477	RNN_deep5_bi	300	10	3	0.1	0.0	0.1	5	0.8	tanh	adam	0.0	0.0
ex02nx	dev-70	dev-30	elite	0	0.001	1.0	0.0	0.0	1.00057709217	1.00057709217	1.0005770921707153	-0.031891632825136185	0.052437830716371536	0.020509695634245872	2.099868059158325	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
