experiment	train	valid	machine	epoch	learn_rate	precision	recall	f1	cost_min	cost_max	cost_avg	y_min_avg	y_max_avg	y_mean_avg	epoch_time	model	x_dim	hidden_dim	y_dim	w_spread	p_drop	init_rate	decay_after	decay_rate	activation	updates	l1_reg	l2_reg
ex02l	dev	dev	lpt-cluster-1	0	0.0001	0.0	0.0	0.0	0.625433027744	1.09007966518	0.98290470582020428	-0.06585777541504631	0.38637860628622994	0.11895183208575354	692.5021240711212	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02l	dev	dev	lpt-cluster-1	50	8e-05	0.0	0.0	0.0	0.601812362671	0.793805599213	0.69724588379075259	-0.16033351817463018	0.56452936198137982	0.28701943875868108	747.4323110580444	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02l	dev	dev	lpt-cluster-1	74	6.400000000000001e-05	0.0038461538461538464	0.002044989775051125	0.00267022696929239	0.613018512726	0.757718980312	0.68245883380310446	-0.18317548374209222	0.56970217031768611	0.27017149253736567	746.9957370758057	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02l	dev	dev	lpt-cluster-1	76	6.400000000000001e-05	0.004761904761904762	0.002044989775051125	0.0028612303290414883	0.591008067131	0.784298360348	0.67823922558675842	-0.18378153905461106	0.55811565699456611	0.26487257435351985	756.9257550239563	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02l	dev	dev	lpt-cluster-1	83	6.400000000000001e-05	0.0051813471502590676	0.002044989775051125	0.002932551319648094	0.603314101696	0.79258531332	0.674351575253885	-0.19107193254594562	0.56729692145238952	0.25248055122321167	756.4838199615479	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02l	dev	dev	lpt-cluster-1	84	6.400000000000001e-05	0.00816326530612245	0.00408997955010225	0.005449591280653952	0.594053924084	0.788745939732	0.67569677361959146	-0.19609981671541551	0.56767462099654764	0.25073562354981144	756.913223028183	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02l	dev	dev	lpt-cluster-1	100	6.400000000000001e-05	0.0	0.0	0.0	0.595253109932	0.78549849987	0.66985376877120784	-0.20889334465506709	0.57286572079115272	0.24244960576673097	756.2290360927582	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02l	dev	dev	lpt-cluster-1	107	5.120000000000001e-05	0.009615384615384616	0.006134969325153374	0.00749063670411985	0.589737415314	0.779312968254	0.66877135068555427	-0.19471209373655199	0.56214143543303763	0.24590118908429448	752.8700070381165	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02l	dev	dev	lpt-cluster-1	127	5.120000000000001e-05	0.021052631578947368	0.0081799591002045	0.011782032400589101	0.575183689594	0.800907373428	0.65722176168538349	-0.19867588409894629	0.56285144105742246	0.23168084704423253	752.8058109283447	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02l	dev	dev	lpt-cluster-1	146	3.2768000000000016e-05	0.018691588785046728	0.012269938650306749	0.014814814814814814	0.570639073849	0.721855640411	0.63576440796067446	-0.23434553285942802	0.56966961712776865	0.22079480675202381	747.3456220626831	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
