experiment	train	valid	machine	epoch	learn_rate	precision	recall	f1	cost_min	cost_max	cost_avg	y_min_avg	y_max_avg	y_mean_avg	epoch_time	model	x_dim	hidden_dim	y_dim	w_spread	p_drop	init_rate	decay_after	decay_rate	activation	updates	l1_reg	l2_reg
ex02n	dev-70	dev-30	lpt-cluster-3	0	0.0001	1.0	0.0	0.0	0.396885216236	1.13842511177	1.0095356247641825	-0.082008219510316852	0.31036427102305675	0.077718326576392757	484.18898010253906	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02n	dev-70	dev-30	lpt-cluster-3	50	6.400000000000001e-05	0.0	0.0	0.0	0.61730659008	0.769727051258	0.69524207657033743	-0.18365278975530105	0.54823854619806467	0.28222294558178296	485.03200793266296	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02n	dev-70	dev-30	lpt-cluster-3	100	3.2768000000000016e-05	0.0	0.0	0.0	0.566534936428	0.736318647861	0.64312417832287871	-0.22121919474818491	0.55928815440698099	0.22186458706855774	485.04199385643005	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02n	dev-70	dev-30	lpt-cluster-3	150	1.677721600000001e-05	0.0	0.0	0.0	0.559621989727	0.698280990124	0.61994190324436538	-0.25215274881232869	0.54620190750468856	0.19420034479011189	485.7864019870758	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02n	dev-70	dev-30	lpt-cluster-3	200	1.0737418240000008e-05	0.0	0.0	0.0	0.556785166264	0.668711543083	0.60339390039443974	-0.27592885494232178	0.54492559270425278	0.18023733456026425	484.02796506881714	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02n	dev-70	dev-30	lpt-cluster-3	250	5.4975581388800055e-06	0.0	0.0	0.0	0.551115989685	0.661199748516	0.59463254971937696	-0.29453062062913721	0.54515886794437063	0.16966906799511475	484.8519868850708	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02n	dev-70	dev-30	lpt-cluster-3	300	2.8147497671065632e-06	0.0	0.0	0.0	0.549946904182	0.65047621727	0.58966276103799997	-0.30477526187896731	0.54306891072880137	0.16236464178020305	483.2356081008911	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02n	dev-70	dev-30	lpt-cluster-3	350	2.2517998136852508e-06	0.0	0.0	0.0	0.546744704247	0.648136019707	0.58641813343221494	-0.30381103428927336	0.54432756738229227	0.15945525494488802	485.94407200813293	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02n	dev-70	dev-30	lpt-cluster-3	400	9.223372036854789e-07	0.0	0.0	0.0	0.545912086964	0.643353402615	0.58485871770165188	-0.30427304045720532	0.54343775131485683	0.15709562315182252	484.6795320510864	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02n	dev-70	dev-30	lpt-cluster-3	450	5.902958103587065e-07	0.0	0.0	0.0	0.544358670712	0.641997694969	0.58337643038142806	-0.30499455224383959	0.54274124557321723	0.15602797053077005	484.4220778942108	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
ex02n	dev-70	dev-30	lpt-cluster-3	500	5.902958103587065e-07	0.0	0.0	0.0	0.543479681015	0.64131051302	0.58294267546046863	-0.30600506419485268	0.54322949918833641	0.15496305945244701	483.5190529823303	RNN_deep5_bi	300	300	48	0.05	0.0	0.0001	5	0.8	tanh	adam	0.01	0.01
