experiment	train	valid	machine	epoch	learn_rate	precision	recall	f1	cost_min	cost_max	cost_avg	y_min_avg	y_max_avg	y_mean_avg	epoch_time	model	x_dim	hidden_dim	y_dim	w_spread	p_drop	init_rate	decay_after	decay_rate	activation	updates	l1_reg	l2_reg
ex02o	dev-70	dev-30	octonion	0	0.001	1.0	0.0	0.0	0.203010201454	1.12137639523	0.74964219033718105	0.04203464271162044	0.24263046559962359	0.14756162871013989	16.06204581260681	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02o	dev-70	dev-30	octonion	50	0.0008	0.0	0.0	0.0	0.186410710216	1.00409197807	0.58454888219183143	-0.1894716734235937	0.47251397913152521	0.15530905273573642	15.969597101211548	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02o	dev-70	dev-30	octonion	100	0.0005120000000000001	0.0	0.0	0.0	0.0451520569623	0.700320363045	0.42145422940904442	-0.088639501279050653	0.38819734123958782	0.066747946004166309	15.077690124511719	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02o	dev-70	dev-30	octonion	150	0.0002621440000000001	0.0	0.0	0.0	0.0147972526029	0.567301571369	0.37936488075012509	-0.10657920057631352	0.38211191718212584	0.040313385815666562	16.006101846694946	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02o	dev-70	dev-30	octonion	200	0.00010737418240000007	0.0	0.0	0.0	0.00993661116809	0.55932199955	0.37090549242090093	-0.11250086272643371	0.38821133485233245	0.031786080991679969	17.306094884872437	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02o	dev-70	dev-30	octonion	250	6.871947673600006e-05	0.0	0.0	0.0	0.00945478584617	0.553431391716	0.36235127357596703	-0.13078678116541018	0.39232893604785202	0.025580173040824859	17.23874807357788	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02o	dev-70	dev-30	octonion	300	3.5184372088832036e-05	0.0	0.0	0.0	0.0119234425947	0.543567240238	0.34996444858949294	-0.13885876438157124	0.41376336639408362	0.023604898906937292	18.20913577079773	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02o	dev-70	dev-30	octonion	350	2.814749767106563e-05	0.0	0.0	0.0	0.0105146523565	0.548833847046	0.33729710150510073	-0.15255083363841881	0.43917615218934686	0.023042940297388917	15.103139877319336	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02o	dev-70	dev-30	octonion	400	1.8014398509482006e-05	0.0	0.0	0.0	0.0116110863164	0.554400742054	0.32565860137004743	-0.16291987777433611	0.45902531214735726	0.021677444882913153	16.329823970794678	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02o	dev-70	dev-30	octonion	450	1.1529215046068485e-05	0.0	0.0	0.0	0.0119540384039	0.555212795734	0.31707956850190055	-0.17188204416835851	0.47311647940765728	0.021292383483325301	15.342740058898926	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02o	dev-70	dev-30	octonion	500	9.223372036854789e-06	0.0	0.0	0.0	0.0123189268634	0.558015346527	0.31024763338606465	-0.17853010608391329	0.48375804681669582	0.021024111930852418	17.525898933410645	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02o	dev-70	dev-30	octonion	550	5.902958103587065e-06	0.0	0.0	0.0	0.012087309733	0.556519269943	0.30488007390363647	-0.18386057742278683	0.49040602057833566	0.020554623363767115	15.55561113357544	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02o	dev-70	dev-30	octonion	600	5.902958103587065e-06	0.0	0.0	0.0	0.0129069155082	0.55705344677	0.30155453775078056	-0.18854588073762982	0.49612379475412044	0.020187206104045882	16.0712308883667	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02o	dev-70	dev-30	octonion	650	3.777893186295722e-06	0.0	0.0	0.0	0.0133950328454	0.558128237724	0.29761712691661985	-0.19200927632098849	0.50091036117889665	0.020077393535228277	14.932997941970825	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02o	dev-70	dev-30	octonion	700	2.4178516392292624e-06	0.0	0.0	0.0	0.0131670795381	0.557918488979	0.29549437270245771	-0.19408217407763004	0.50385226190767507	0.019854210172409445	15.792629957199097	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02o	dev-70	dev-30	octonion	750	1.547425049106728e-06	0.0	0.0	0.0	0.012869107537	0.5580945611	0.29392016568983143	-0.19561918831684372	0.50569880277934398	0.019849924704546787	15.943626880645752	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02o	dev-70	dev-30	octonion	800	9.90352031428306e-07	0.0	0.0	0.0	0.0131168942899	0.55744177103	0.29298762083053587	-0.19672325204380534	0.5068436325443062	0.019736766968112947	14.98001503944397	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02o	dev-70	dev-30	octonion	850	6.338253001141159e-07	0.0	0.0	0.0	0.0131126213819	0.557322919369	0.29237945455719122	-0.19738490339368581	0.50765188273719764	0.019718675664890641	15.169543027877808	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
